Food_ID,Name,C_Type,Veg_Non,Describe,Image_URL
30,couscous with ratatouille - tangy tomato sauce,French,veg,"for the cous cous:, plain couscous, extra virgin olive oil, vegetable stock, herbs (basil, parsley, thyme, cilantro work best), for the ratatouille:, olive oil (regular not extra virgin), red onions, aubergines (cut in to 3 cm cubes), zucchini (cut in to 3 cm cubes), garlic cloves, ground cumin, sweet paprika, tomato paste, salt",https://c.ndtvimg.com/8k7d9s48_couscous_625x300_30_August_18.jpg
31,baked almond kofta,Snack,veg,"potato (boiled), nutmeg, milk, almonds (crushed), green onions, refined flour, egg, salt, pepper, eggs, refined flour (for rolling), dried breadcrumbs (for rolling)",https://www.almonds.in/sites/default/files/2020-07/Baked%20Almond%20Kofta%20.jpg
32,almond and amaranth ladoo,Dessert,veg,"popped amaranth seeds, jaggery, almonds (slivered, unpeeled)",https://c.ndtvimg.com/mmg28dt_ladoo_625x300_22_August_18.jpg
33,moong dal kiwi coconut soup,Indian,veg,"green gram (dhuli moong dal), kiwis, coconut cream, oil, bay leaves, cumin seeds, coriander seeds, black peppercorns, garlic cloves, medium onion, carrot, turmeric powder, curry powder, salt, fresh coriander sprigs",https://img-cdn.thepublive.com/fit-in/1200x675/filters:format(webp)/sanjeev-kapoor/media/post_banners/a55b10b708e4e05df5e2a52761a8a03faf8852d7555e6d5f4f82fecafc48c8fd.jpg
34,mixed berry & banana smoothie,Healthy Food,veg,"Frozen mixed berries, ripped banana,fresh orange juice, low fat curd",https://food.fnr.sndimg.com/content/dam/images/food/fullset/2013/12/12/0/fnk_mixed-berries-and-banana-smoothie_s4x3.jpg.rend.hgtvcom.1280.1280.suffix/1386935601342.webp
35,banana walnut smoothie,Healthy Food,veg,"Low Fat Yogurt, Banana, Walnuts, Seeds (Facseeds and Chia Seeds), Honey",https://walnuts.org/wp-content/uploads/2017/09/995726c46cabe99-9EA50679-D26F-491A-931085A2F04EB105.jpg
36,spicy watermelon soup,Healthy Food,veg,"Watermelon, ginger-garlic paste, peppermint, chili flakes, olive oil (to cook)",https://www.thepeppercook.com/wp-content/uploads/2020/05/watermelongazpachoindex-1.1-scaled.jpg
37,red rice poha,Indian,veg,"Onion, Pepper, Button Mushroom, Wild Mushroom, White Wine, Tomato, Sage Leaf, Red Poha, Truffle Oil, Rosemary",https://www.kannammacooks.com/wp-content/uploads/red-rice-poha-recipe-healthy-whole-grain-4.jpg
38,mixed salad with lotus root,Healthy Food,veg,"Iceberg Lattoos, Lolo Rosso, Endive Lettuce, Red Cabbage, Lotus Root, Kaddu, Yam Beans, Small Onions, Pomegranate, Chalet Oil, Pomelo, Lemongrass Sauce",https://tiffanyangela.com/wp-content/uploads/2022/05/Lotus-Salad-1-scaled.jpg
39,sweet potato and quinoa bowl,Healthy Food,veg,"Sweet Potato Cubes, Coconut, Onion, Knoia (Ripe), Raisins, Cashew, Pepper Powder, Caen, Cassia, Salt",https://cdn.loveandlemons.com/wp-content/uploads/2015/11/IMG_2015_10_10_06241-cropped.jpg
40,corn and raw mango salad,Healthy Food,veg,"Corn kernels, onions, green onions, paprika, raw mango (pieces), celery stock (pieces), cherry tomatoes, pineapple (pieces), pasarley, green coriander, badge leaves, black olive, lemon juice, olive Oil, black salt, white pepper powder, taco shell",https://www.thepeppercook.com/wp-content/uploads/2016/03/Corn-Coconut-Raw-Mango-Salad-Index.jpg
41,khichdi,Indian,veg,"Quick cooking oats, peanuts, cumin, turmeric powder, red chilli powder, onion, tomatoes, carrots, green peas, ginger, green chillies, salt, extra virgin olive oil, water, coriander leaves",https://holycowvegan.net/wp-content/uploads/2014/06/masala-khichdi-featured-image.jpg
42,sugar free modak,Japanese,veg,"seedless dates, almonds, cashew nuts, walnuts, raisins, dry coconut, poppy seeds, ghee",https://flavourfulfoods.com/wp-content/uploads/2021/09/Sugar-free-moda-W.png
43,beetroot modak,Japanese,veg,"gram flour (besan), semolina (rava/sooji), beetroot colour or two oven cooked beetroot paste , water, oil (for frying), for sugar syrup:, sugar, water, cardamom powder, lemon juice, cashews (kaju)",https://images.squarespace-cdn.com/content/v1/60487208da599620d0a61a05/e21e0845-f6ef-4563-a413-41add2089c0b/Beetroot-Modak-2.jpg
44,andhra pan fried pomfret,Indian,veg,"white pomfret fish, sunflower refined ooil, red chilli powder, salt, turmeric powder, ginger-garlic paste, lemon (juiced), cumin powder, coriander powder, garam masala, green chilli, curry leaves, coriander",https://c.ndtvimg.com/2019-08/untdopi_pomfret_625x300_29_August_19.jpg
45,ghee roast chicken dosa quesadilla,Mexican,non-veg,"dry red chillies, coriander seeds, cumin seeds, fenugreek seeds, black pepper, clove, garlic, turmeric powder, boneless chicken, curd, lemon (juiced), for cooking chicken:, tamarind pulp, ginger (1 inch), garlic cloves, onion, tomato, ghee, red chilli powder, salt, crushed jaggery, dosa batter (for 4 dosas), processed cheese, ghee or oil (to crisp the dosa), coriander leaves, curry leaves (deep fried), curd, salt, zeera powder, sugar, red chilli powder",https://c.ndtvimg.com/2019-06/7obus2ig_ghee-roast-quesadilla-dosa_625x300_11_June_19.jpg
46,steam bunny chicken bao,Japanese,non-veg,"buns, all purpose white flour, dry yeast, sugar, salt, warm water, chicken mince, eggs, soy sauce, sugar, sesame oil, worcestershire sauce, chives, aromat powder",https://c.ndtvimg.com/2019-04/g2d92opo_chicken-bao_625x300_18_April_19.jpg
47,meat lovers pizza,Italian,non-veg,"millet flour, tapioca flour, soy milk, garlic powder, baking powder, salt, tomato sauce, mozzarella cheese, prosciutto, pepperoni, chicken salami, salami milano, rosemary, olive oil",https://www.thecookierookie.com/wp-content/uploads/2023/09/meat-lovers-pizza-recipe-3.jpg
48,almond and chicken momos (without shell),Chinese,non-veg,"chicken mince, garlic, carrots, spring onion, ginger, soya sauce, oyster sauce, sesame oil, pepper powder, egg, almonds (blanched), oil (for greasing)",https://img-global.cpcdn.com/recipes/a04d7886edacfd04/680x482cq70/almond-and-chicken-momos-without-shell-recipe-recipe-main-photo.jpg
49,christmas tree pizza,Italian,veg,"pizza dough (2 boules), red pepper, red onion, basil pesto (purchased, homemade or vegan pesto), mozzarella cheese, kosher salt",https://www.appetizeraddiction.com/wp-content/uploads/2023/12/christmas-tree-pizza-9.jpg
50,french pork chop,French,veg,"pork chop, pink pepper corn, green pepper corn, aromatic sauce, salt, black pepper, salted butter, refined oil, red cabbage, bell pepper chop, apricot, onion, red wine, ancho chilli, cayenne pepper, microgreen",https://imgstore.sndimg.com/magnolia/images/377cb171-c260-4ac5-a7c8-5e755bac2356.jpg
51,christmas chocolate fudge cookies,Dessert,veg,"unsalted butter, brown sugar, chocolate, chocolate chips, eggs, flour, cocoa powder, baking powder",https://www.theoriginaldish.com/wp-content/uploads/2019/12/Chocolate-Fudge-Crinkle-Cookies-1-683x1024.jpg
52,chicken parmigiana with tomato sauce,Italian,non-veg,"for chicken parmigiana:, chicken breast, egg whole frozen, flour, planko bread crumbs, fresh italian parsley, vegetable oil, solid butter unsalted, tomato sauce, mozzarella cheese, italian parmesan cheese, thyme, for pepperonata:, red pepper, green pepper, yellow pepper, red onion, fresh tomato, butternut squash, garlic, pure olive oil, vegetable oil, black pepper corn (crushed), salt, parsley, for garnishing:, parsley sprig, spinach",https://images.food52.com/bUh9vsduwDwsDFtsGQv7DAsV1dU=/1200x900/851182c1-6318-46e7-82ad-e6ca827b5664--2020-0716_chicken-parm-for-one_3x2_ty-mecham.jpg
53,chocolate appe,Snack,veg,"rice, coconut, baking powder, vanilla extract, cinnamon powder, brown sugar, unsweetened cocoa powder, salt, chocolate chips, butter",https://www.cookwithkushi.com/wp-content/uploads/2016/08/Easy_mini_choco_lava_cake_appe_paniyaram-500x375.jpg
54,sous-vide salmon tikka,French,non-veg,"norwegian salmon, black garlic pickle, butter, butchery bag, smoked yogurt, home made prawn crisp, edible flower, salt",https://c.ndtvimg.com/2018-11/a4e5k52o_tikka_625x300_22_November_18.jpg
55,filo pizza,Italian,veg,"filo pastry, himalayan salt, black pepper, salted butter, tomato sauce, broccoli, button mushroom, green zucchini, yellow zucchini, capsicum yellow, capsicum green, capsicum red, pizza spice mix, mozzarella cheese",https://www.themediterraneandish.com/wp-content/uploads/2022/06/phyllo-dough-pizza-6.jpg
56,chocolate samosa,Snack,veg,"refined flour, desi ghee, black cardamom seeds, chocolate block, almonds, cashew nuts, pistachio, sugar, garam masala powder, oil",https://www.sanjanafeasts.co.uk/wp-content/uploads/2022/02/how-to-make-chocolate-samosa-683x1024.jpg.webp
57,fish with jamun sauce,Indian,non-veg,"jamun, sugar, chilli, garlic cloves (minced), cumin (powdered), fish fillet (pomfret (or any white fish), semolina, salt, wilted spinach",https://i.ndtvimg.com/i/2018-02/fish_620x350_81519647645.jpg
58,dahi lasooni chicken,Indian,non-veg,"chicken (boneless, cube size), chesse, garlic, ginger garlic paste, coriander, green chilli paste, cream (fresh), curd, kaju paste, salt, black salt , garam masala, chaat masala, butter",https://img-global.cpcdn.com/recipes/7ea0f546986501f0/400x400cq70/photo.jpg
59,pesto fish kebabs,Indian,non-veg,"King fish cut into one inch pieces, paprika cut into one inch pieces, bezel pasto, white wine vinegar, salt, cooking spray",https://food.fnr.sndimg.com/content/dam/images/food/fullset/2016/6/12/2/FNM070116_Swordfish-Kebabs-with-Mint-Pesto-recipe_s4x3.jpg.rend.hgtvcom.616.462.suffix/1465853130695.webp
60,caramelized sesame smoked almonds,Snack,veg,"red lentils or masoor dal (half-boiled), potato (grated), carrot, french beans, bread slices, ground chickpea flour (sattu), green chillies, ginger, onions, garlic (minced), salt, sugar, chaat masala, red chilli powder, garam masala, corn flour, besan, bread crumbs for crunchyness, coriander, refined oil (for fryingp)",https://static.toiimg.com/thumb/53613283.cms?imgsize=155679&width=800&height=800
61,crunchy vegetable dal sattu croquettes,Italian,veg,"red lentils or masoor dal (half-boiled), potato (grated), carrot, french beans, bread slices, ground chickpea flour (sattu), green chillies, ginger, onions, garlic (minced), salt, sugar, chaat masala, red chilli powder, garam masala, corn flour, besan, bread crumbs for crunchyness, coriander, refined oil (for fryingp)",https://c.ndtvimg.com/2019-10/f2n8o23g_croquettes_625x300_04_October_19.jpg
62,active charcoal modak,Japanese,veg,"for modak:, gram flour (besan), semolina (rava/suji), active charcoal, water, oil (for frying), sugar, water, cardamom powder, lemon juice, cashews (kaju)",https://c.ndtvimg.com/2019-09/tnp4dcao_modak_625x300_06_September_19.jpg
63,flax seed and beetroot modak,Japanese,veg,"rice flour, salt, oil (for greasing), beetroot puree, tossed flax seeds (for topping), fresh coconut, jaggery, poppy seeds, green cardamom powder, nutmeg powder",https://c.ndtvimg.com/2020-08/f2br5k7g_modak_625x300_19_August_20.jpg
64,chocolate prunes gujiyas,Japanese,veg,"for gujiya pastry:, refined flour, ghee, water, salt, for gujiya stuffing:, dark chocolate, prunes, mawa, sugar, cardamom",https://c.ndtvimg.com/2019-03/mo2pqhn_gujiya_625x300_20_March_19.jpg
65,almond  white chocolate gujiya,Japanese,veg,"all-purpose flour, clarified butter (ghee), water, white chocolate, dessicated coconut, green cardamom powder, almond, jaggery",https://c.ndtvimg.com/2019-03/1a4rd23o_gujiya_625x300_18_March_19.jpg
66,betel nut popsicle,Dessert,veg,"full cream milk, cream, mascarpone, sugar, paan (crushed), cookie crumble, dark chocolate (melted), caramel sauce",https://c.ndtvimg.com/2019-02/m6jgk1a_popsicle_625x300_13_February_19.jpg
67,clotted cottage cheese croquettes,Italian,veg,"black pepper, black salt, bread crumb, corn flour, refined oil, jalapeno, jeera powder, maida, cottage cheese, parsley, salt, for thousand island dressing:, mayonnaise, tomato ketchup, minced garlic, celery, black pepper",https://c.ndtvimg.com/2018-12/e313p79_croquettes_625x300_24_December_18.jpg
68,gajar tart,French,veg,"white butter, breakfast sugar, milk full fat, refined flour, winter carrots, ghee, sugar, khoya, cardamom powder, cashew nuts (crushed), almonds (crushed), full fat milk, full fat milk, grain sugar, green cardamom powder",https://i0.wp.com/www.happyandharried.com/wp-content/uploads/2016/02/Carrot-Halwa-Tarts-Indian-Carrot-Pudding-Tarts.jpg
69,banana and maple ice lollies,Dessert,veg,"Banana, Greek yogurt, heavy cream, pure maple syrup, coconut",https://c.ndtvimg.com/2018-10/de218cbg_banana-lollies_625x300_12_October_18.jpg
70,shepherds salad (tamatar-kheera salaad),Healthy Food,veg,"1 cucumber peeled and chopped, onion, tomato, green chillies, garlic buds, pasarley, olive oil, lemon juice, salt and pepper",https://i.ndtvimg.com/i/2018-04/salad_620x330_81522911703.jpg
71,carrot ginger soup,Healthy Food,veg,"Carrots, Olive Oil, Salt, Vegetable Stock, Ginger, Thyme, Onion, Garlic Buds, Pepper (Freshly Picked)",https://i2.wp.com/www.downshiftology.com/wp-content/uploads/2019/10/Carrot-Ginger-Soup-main.jpg
72,dark night,Beverage,veg,"whisky, honey, cinnamon, star anise, cloves, green apple",https://images.fineartamerica.com/images/artworkimages/mediumlarge/2/dark-night-delobbocom.jpg
73,hot chocolate,Beverage,veg,"milk, chocolate, cocoa powder, powdered sugar, cinnamon, vanilla",https://sallysbakingaddiction.com/wp-content/uploads/2016/11/homemade-hot-chocolate-slow-cooker.jpg
74,slow cooked spiced sangria,Mexican,veg,"red wine (merlot / zinfandel), apple cider, honey, orange (zested and juiced), cloves (whole), green cardamom, cinnamon sticks, anise (whole), brandy",https://getcrocked.b-cdn.net/wp-content/uploads/2013/11/Spiced-Sangria-edited-NEW-Web.jpg
75,detox haldi tea,Beverage,veg,"haldi, ginger, black pepper, honey, water",https://www.bigbasket.com/media/uploads/recipe/w-l/2557_1_1.jpg
76,holi special ice tea thandai,Beverage,veg,"ground white pepper (kali mirch), assam tea bags, almonds (badam) - coarsley crushed, poppy seeds (khus-khus), fennel seeds (saunf) (crushed coarsely), cardamom (elaichi) powder, ground sugar, saffron (kesar) strands",https://i.ndtvimg.com/i/2017-12/iced-teas-have-high-sugar-content_650x400_61513250118.jpg
77,grilled lemon margarita,Beverage,veg,"vanilla infused tequila, vanilla liqueur, lemon juice, lemon, lemon",https://anerdcooks.com/wp-content/uploads/2019/03/grilled_mezcal_margaritas4-500x500.jpg
78,spanish artichoke and spinach dip,Mexican,veg,"spinach, onion, cream, garlic, nutmeg, salt, lime juice, artichoke hearts (cubed), polenta, refined flour, salt, water, butter, flour, salt, pepper (freshly ground)",https://www.cookingclassy.com/wp-content/uploads/2018/12/spinach-artichoke-dip-13.jpg
79,beetroot and green apple soup,Healthy Food,veg,"beetroots, green apple, onion, olive oil, salt, black peppercorns (crushed), butter, vegetable stock, mixed dried herbs, fresh cream, lemon juice, parsley sprigs, red chilli flakes, soup sticks as required",https://www.foodandwine.com/thmb/DIdj-OqV4A1tcWqRwVBs65iC-oo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/recipe0815-xl-chilled-beet-and-green-apple-bisque-2000-0e1f270190c042dbad6aa8fb0417806a.jpg
80,baba budan no. 7,Beverage,veg,"rum, espresso, sugar syrup/gur (jaggery) syrup, green cardamom pod,",https://i.ndtvimg.com/i/2018-01/coffee_620x350_51515411556.jpg
81,fruit infused tea,Beverage,veg,"chamomile tea bags, orange, berries, blueberries, ginger, mint leaves, boiling water",https://amealinmind.com/wp-content/uploads/2019/07/Fruit-Infused-Herbal-Tea-Inst.jpg
82,soya milk,Beverage,veg,"Soybean, hot water","https://images.immediate.co.uk/production/volatile/sites/30/2023/12/soy-milk-and-beans-2c1e109.jpg?quality=90&resize=440,400"
83,spiced coffee,Beverage,veg,"Freshly ground coffee, cardamom powder, ginger, milk, sugar, cream, chocolate","https://hips.hearstapps.com/hmg-prod/images/white-spiced-coffee-1636407084.jpg?crop=1.00xw:0.753xh;0,0.0297xh&resize=1200:*"
84,filter coffee,Beverage,veg,"Coffee powder, water, milk, sugar",https://www.sharmispassions.com/wp-content/uploads/2012/01/filter-coffee-recipe8-500x375.jpg
85,garlic and pinenut soup with burnt butter essence,French,veg,"garlic cloves, almonds (whole), parsley, bayleaf, chicken broth, nutmeg, egg yolk, heavy cream, white bread slices, butter, salt, pepper, white wine",https://c.ndtvimg.com/2019-02/o4r3dnig_soup_625x300_14_February_19.jpg
86,roast turkey with cranberry sauce,Healthy Food,non-veg,"whole turkey, butter, onion, celery, crumbled sage and thyme , salt and pepper, garlic minced, balsamic vinegar, sugar, cranberry",https://media.blueapron.com/culinary/recipe/2017/wide_image/c87c2b4f81bacf89b90346564d1065d6.jpg
87,roasted spring chicken with root veggies,Healthy Food,non-veg,"whole chicken, thyme, garlic, lemon, orange, salt, black pepper, butter (to rub), extra olive oil, carrot, turnip, beetroot, chipotle powder, parsley",https://www.foodandwine.com/thmb/rF0I9AM7nbhEAOo2cJ03lurr0dE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/quick-skillet-roasted-chicken-with-spring-vegetables-FT-RECIPE0421-c0642d88cc6a4e8186b854308ae92c8f.jpg
88,peri peri chicken satay,Snack,non-veg,"boneless skinless chicken thigh (trimmed), salt and pepper, yogurt, chilli powder, ginger garlic paste, coriander leaves, oil to fry, peri peri sauce, potato fries",https://www.closetcooking.com/wp-content/uploads/2020/08/Peri-Peri-Grilled-Chicken-Skewers-1200-5371.jpg
89,chicken popcorn,Chinese,non-veg,"chicken (boneless), corn flour or all purpose flour, egg, bread crumbs, salt, ginger garlic paste, black pepper, onion powder (optional), red chilli powder or paprika or cayenne pepper, oil for deep frying",https://thecozycook.com/wp-content/uploads/2023/02/Popcorn-Chicken-f.jpg
90,half roast chicken,Healthy Food,non-veg,"cooking oil, whole chicken (skin on- rinsed and dressed), onions (quartered- skin on), garlic (halved - skin on), carrots (roughly quartered), celery , thyme, dunkleweizen (pour into a glass and keep open at room temperature for an hour or two to make flat), chicken stock, butter, sea salt",https://www.craftbeering.com/wp-content/uploads/2024/09/Roasted-Half-Chicken-Featured.jpg
91,chicken biryani,Indian,non-veg,"malabar peppercorn, cinnamon stick, green cardamom pods, star anise, cloves, fennel seeds, vermicelli, desi ghee, shahi jeera, bay leaves, green chilli, mint leaves, onion, saffron, garlic paste, salt, chicken (dark meat), ginger paste, turmeric powder, coriander powder, red chilli powder, roma tomatoes (de-seedeed), water",https://pipingpotcurry.com/wp-content/uploads/2024/04/Chicken-Biryani-Piping-Pot-Curry.jpg
92,chicken farcha,Indian,non-veg,"boneless chicken thigh (without skin), lemon juice, garlic paste, ginger paste, red chilli powder, coriander powder, garam masala, black pepper (crushed), salt, bread crumbs / semolina, eggs, red chilli powder, oil",https://www.thespruceeats.com/thmb/YBLgh1siJc3lbIC6pkdPCD4BuJo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/chickenfarcha-56a5109f3df78cf772862bf5.jpg
93,buldak (hot and spicy chicken),Japanese,non-veg,"chicken drum sticks/ chicken breast, soy sauce, sugar, traditional corn syrup (substitution honey), cheong ju (clear rice wine similar to japanese sake), green onion, black pepper, olive oil, sesame seeds (optional), for marinating sauce:, gochugaru (red chili pepper flakes), alapenos, korean pear (substitution asian pear), onion, garlic, soy sauce, spicy yellow mustard, sesame oil, sugar, mul yut (substitution honey)","https://m.media-amazon.com/images/I/71YEgoPUreL._AC_UF894,1000_QL80_.jpg"
94,chicken sukka,Indian,non-veg,"chicken (small pieces), onion (thin slices), cardamom, salt, oil, coriander, cumin, mustard, pepper, cloves, cinnamon, bedki chillies, kashmiri chilies, turmeric, onion, garlic, ginger, salt",https://theyummydelights.com/wp-content/uploads/2021/11/mangalorean-chicken-sukka.jpg
